Sandfly No.,Slide No.,DNA No.,Trap NO.,Collection site,Location,Location,Sandfly sp.,SEX,Feeding status,Leishmmania ,Latitude,Longitude,Altitude,Outdoor/indoor
S#20,SL#2,1,ST24,Marlini,Koya,26-02-21,S. clydei,Female,Not fed,Negative,01.3938746 ''N,037.4852810''E,535m,Outdoor
S#26,SL#1,2,ST20,Marlini,Koya,26-02-21,S. squamipleuris,Female,Not fed,01.3941667''N,037.4900396''E,530m,Outdoor
S#11,SL#2,3,ST07,Marlini,Koya,26-02-21,S. clydei,Female,Gravid,Negative,01.3936094 ''N,037.4858649''E,530m,Outdoor
S#23,SL#1,4,ST05,Marlini,Koya,26-02-21,S. clydei,Female,Bloodfed,Positive,01.3940679''N,037.4901070''E,531m,Outdoor
S#12,SL#3,5,ST07,Marlini,Koya,26-02-21,S. clydei,Female,Not fed,Negative,01.3936094 ''N,037.4858649''E,530m,Outdoor
S#24,SL#2,6,ST05,Marlini,Koya,S. schwetzi,Female,Bloodfed,Negative,01.3940679''N,037.4901070''E,531m,Outdoor
S#13,SL#5,7,ST07,Marlini,Koya,26-02-21,S. bedfordi,Female,Not fed,Negative,01.3936094 ''N,037.4858649''E,530m,Outdoor
S#19,SL#1,8,ST24,Marlini,Koya,26-02-21,S. squamipleuris,Female,Not fed,Negative,01.3938746 ''N,037.4852810''E,535m,Outdoor
S#28,SL#1,9,ST21,Marlini,Koya,26-02-21,S. squamipleuris,Female,Not fed,Negative,01.3942919''N,037.4859462''E,528m,Outdoor
S#61,SL#3,10,T16,Orbuka,Koya,27-02-21,S. clydei,Male,Not fed,Positive,01.3759602''N,037.4824093''E,540m,Outdoor
S#65,SL#3,11,T09,Orbuka,Koya,27-02-21,S. clydei,Female,Not fed,Negative,01.3758176''N,037.4821866''E,549m,Outdoor
S#73,SL#1,12,T01,Orbuka,Koya,27-02-21,S. clydei,Female,Not fed,Negative,01.3757975''N,037.4823305''E,542m,Outdoor
S#32,SL#4,13,T41,Orbuka,Koya,27-02-21,S. clydei,Female,Gravid,Positive,01.3758156''N,037.4822666''E,548m,Outdoor
S#76,SL#1,14,T03,Orbuka,Koya,27-02-21,S. squamipleuris,Female,Not fed,Negative,01.382530''N,037.4825886''E,540m,Outdoor
